move_id,name,type,power,pp,accuracy,priority,damage_class,effect_text,short_effect_text
13,razor-wind,normal,80.0,10,100.0,0,special,"Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",Requires a turn to charge before attacking.
14,swords-dance,normal,,20,,0,status,Raises the user’s Attack by two stages.,Raises the user’s Attack by two stages.
15,cut,normal,50.0,30,95.0,0,physical,Inflicts regular damage.,Inflicts regular damage with no additional effect.
20,bind,normal,15.0,20,85.0,0,physical,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",Prevents the target from fleeing and inflicts damage for 2-5 turns.
22,vine-whip,grass,45.0,25,100.0,0,physical,Inflicts regular damage.,Inflicts regular damage with no additional effect.
29,headbutt,normal,70.0,15,100.0,0,physical,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,Has a $effect_chance% chance to make the target flinch.
33,tackle,normal,40.0,35,100.0,0,physical,Inflicts regular damage.,Inflicts regular damage with no additional effect.
34,body-slam,normal,85.0,15,100.0,0,physical,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,Has a $effect_chance% chance to paralyze the target.
36,take-down,normal,90.0,20,85.0,0,physical,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,User receives 1/4 the damage it inflicts in recoil.
38,double-edge,normal,120.0,15,100.0,0,physical,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,User receives 1/3 the damage inflicted in recoil.
45,growl,normal,,40,100.0,0,status,Lowers the target’s Attack by one stage.,Lowers the target’s Attack by one stage.
70,strength,normal,80.0,15,100.0,0,physical,Inflicts regular damage.,Inflicts regular damage with no additional effect.
72,mega-drain,grass,40.0,15,100.0,0,special,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,Drains half the damage inflicted to heal the user.
73,leech-seed,grass,,10,90.0,0,status,"Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.

The user takes damage instead of being healed if the target has liquid ooze.

rapid spin will remove this effect.

This effect is passed on by baton pass.","Seeds the target, stealing HP from it every turn."
74,growth,normal,,20,,0,status,"Raises the user’s Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages.",Raises the user’s Attack and Special Attack by one stage.
75,razor-leaf,grass,55.0,25,95.0,0,physical,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.
76,solar-beam,grass,120.0,10,100.0,0,special,"Inflicts regular damage.  User charges for one turn before attacking.

During sunny day, the charge turn is skipped.

During hail, rain dance, or sandstorm, power is halved.

This move cannot be selected by sleep talk.",Requires a turn to charge before attacking.
77,poison-powder,poison,,35,75.0,0,status,Poisons the target.,Poisons the target.
79,sleep-powder,grass,,15,75.0,0,status,Puts the target to sleep.,Puts the target to sleep.
80,petal-dance,grass,120.0,10,100.0,0,special,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.","Hits every turn for 2-3 turns, then confuses the user."
81,string-shot,bug,,40,95.0,0,status,Lowers the target’s Speed by two stages.,Lowers the target’s Speed by two stages.
92,toxic,poison,,10,90.0,0,status,Badly poisons the target.  Never misses when used by a poison-type Pokémon.,"Badly poisons the target, inflicting more damage every turn."
99,rage,normal,20.0,20,100.0,0,physical,"Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage.","If the user is hit after using this move, its Attack rises by one stage."
102,mimic,normal,,10,,0,status,"This move is replaced by the target’s last successfully used move, and its PP changes to 5.  If the target hasn’t used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.

If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail.

This move cannot be copied by mirror move, nor selected by assist or metronome, nor forced by encore.",Copies the target’s last used move.
104,double-team,normal,,15,,0,status,Raises the user’s evasion by one stage.,Raises the user’s evasion by one stage.
111,defense-curl,normal,,40,,0,status,"Raises user’s Defense by one stage.

After this move is used, the power of ice ball and rollout are doubled until the user leaves the field.",Raises user’s Defense by one stage.
113,light-screen,psychic,,30,,0,status,"Erects a barrier around the user’s side of the field that reduces damage from special attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier.",Reduces damage from special attacks by 50% for five turns.
115,reflect,psychic,,20,,0,status,"Erects a barrier around the user’s side of the field that reduces damage from physical attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier.",Reduces damage from physical attacks by half.
