pokemon_id,name,height,weight,base_experience,type_1,type_2,ability_1,ability_2,ability_3,hp,attack,defense,special-attack,special-defense,speed
1,bulbasaur,7,69,64,grass,poison,overgrow,chlorophyll,,45,49,49,65,65,45
2,ivysaur,10,130,142,grass,poison,overgrow,chlorophyll,,60,62,63,80,80,60
3,venusaur,20,1000,236,grass,poison,overgrow,chlorophyll,,80,82,83,100,100,80
4,charmander,6,85,62,fire,,blaze,solar-power,,39,52,43,60,50,65
5,charmeleon,11,190,142,fire,,blaze,solar-power,,58,64,58,80,65,80
6,charizard,17,905,240,fire,flying,blaze,solar-power,,78,84,78,109,85,100
7,squirtle,5,90,63,water,,torrent,rain-dish,,44,48,65,50,64,43
8,wartortle,10,225,142,water,,torrent,rain-dish,,59,63,80,65,80,58
9,blastoise,16,855,239,water,,torrent,rain-dish,,79,83,100,85,105,78
10,caterpie,3,29,39,bug,,shield-dust,run-away,,45,30,35,20,20,45
11,metapod,7,99,72,bug,,shed-skin,,,50,20,55,25,25,30
12,butterfree,11,320,178,bug,flying,compound-eyes,tinted-lens,,60,45,50,90,80,70
13,weedle,3,32,39,bug,poison,shield-dust,run-away,,40,35,30,20,20,50
14,kakuna,6,100,72,bug,poison,shed-skin,,,45,25,50,25,25,35
15,beedrill,10,295,178,bug,poison,swarm,sniper,,65,90,40,45,80,75
16,pidgey,3,18,50,normal,flying,keen-eye,tangled-feet,big-pecks,40,45,40,35,35,56
17,pidgeotto,11,300,122,normal,flying,keen-eye,tangled-feet,big-pecks,63,60,55,50,50,71
18,pidgeot,15,395,216,normal,flying,keen-eye,tangled-feet,big-pecks,83,80,75,70,70,101
19,rattata,3,35,51,normal,,run-away,guts,hustle,30,56,35,25,35,72
20,raticate,7,185,145,normal,,run-away,guts,hustle,55,81,60,50,70,97
21,spearow,3,20,52,normal,flying,keen-eye,sniper,,40,60,30,31,31,70
22,fearow,12,380,155,normal,flying,keen-eye,sniper,,65,90,65,61,61,100
23,ekans,20,69,58,poison,,intimidate,shed-skin,unnerve,35,60,44,40,54,55
24,arbok,35,650,157,poison,,intimidate,shed-skin,unnerve,60,95,69,65,79,80
25,pikachu,4,60,112,electric,,static,lightning-rod,,35,55,40,50,50,90
26,raichu,8,300,218,electric,,static,lightning-rod,,60,90,55,90,80,110
27,sandshrew,6,120,60,ground,,sand-veil,sand-rush,,50,75,85,20,30,40
28,sandslash,10,295,158,ground,,sand-veil,sand-rush,,75,100,110,45,55,65
29,nidoran-f,4,70,55,poison,,poison-point,rivalry,hustle,55,47,52,40,40,41
30,nidorina,8,200,128,poison,,poison-point,rivalry,hustle,70,62,67,55,55,56
31,nidoqueen,13,600,227,poison,ground,poison-point,rivalry,sheer-force,90,92,87,75,85,76
32,nidoran-m,5,90,55,poison,,poison-point,rivalry,hustle,46,57,40,40,40,50
33,nidorino,9,195,128,poison,,poison-point,rivalry,hustle,61,72,57,55,55,65
34,nidoking,14,620,227,poison,ground,poison-point,rivalry,sheer-force,81,102,77,85,75,85
35,clefairy,6,75,113,fairy,,cute-charm,magic-guard,friend-guard,70,45,48,60,65,35
36,clefable,13,400,217,fairy,,cute-charm,magic-guard,unaware,95,70,73,95,90,60
37,vulpix,6,99,60,fire,,flash-fire,drought,,38,41,40,50,65,65
38,ninetales,11,199,177,fire,,flash-fire,drought,,73,76,75,81,100,100
39,jigglypuff,5,55,95,normal,fairy,cute-charm,competitive,friend-guard,115,45,20,45,25,20
40,wigglytuff,10,120,196,normal,fairy,cute-charm,competitive,frisk,140,70,45,85,50,45
41,zubat,8,75,49,poison,flying,inner-focus,infiltrator,,40,45,35,30,40,55
42,golbat,16,550,159,poison,flying,inner-focus,infiltrator,,75,80,70,65,75,90
43,oddish,5,54,64,grass,poison,chlorophyll,run-away,,45,50,55,75,65,30
44,gloom,8,86,138,grass,poison,chlorophyll,stench,,60,65,70,85,75,40
45,vileplume,12,186,221,grass,poison,chlorophyll,effect-spore,,75,80,85,110,90,50
46,paras,3,54,57,bug,grass,effect-spore,dry-skin,damp,35,70,55,45,55,25
47,parasect,10,295,142,bug,grass,effect-spore,dry-skin,damp,60,95,80,60,80,30
48,venonat,10,300,61,bug,poison,compound-eyes,tinted-lens,run-away,60,55,50,40,55,45
49,venomoth,15,125,158,bug,poison,shield-dust,tinted-lens,wonder-skin,70,65,60,90,75,90
50,diglett,2,8,53,ground,,sand-veil,arena-trap,sand-force,10,55,25,35,45,95
51,dugtrio,7,333,149,ground,,sand-veil,arena-trap,sand-force,35,100,50,50,70,120
52,meowth,4,42,58,normal,,pickup,technician,unnerve,40,45,35,40,40,90
53,persian,10,320,154,normal,,limber,technician,unnerve,65,70,60,65,65,115
54,psyduck,8,196,64,water,,damp,cloud-nine,swift-swim,50,52,48,65,50,55
55,golduck,17,766,175,water,,damp,cloud-nine,swift-swim,80,82,78,95,80,85
56,mankey,5,280,61,fighting,,vital-spirit,anger-point,defiant,40,80,35,35,45,70
57,primeape,10,320,159,fighting,,vital-spirit,anger-point,defiant,65,105,60,60,70,95
58,growlithe,7,190,70,fire,,intimidate,flash-fire,justified,55,70,45,70,50,60
59,arcanine,19,1550,194,fire,,intimidate,flash-fire,justified,90,110,80,100,80,95
60,poliwag,6,124,60,water,,water-absorb,damp,swift-swim,40,50,40,40,40,90
61,poliwhirl,10,200,135,water,,water-absorb,damp,swift-swim,65,65,65,50,50,90
62,poliwrath,13,540,230,water,fighting,water-absorb,damp,swift-swim,90,95,95,70,90,70
63,abra,9,195,62,psychic,,synchronize,inner-focus,magic-guard,25,20,15,105,55,90
64,kadabra,13,565,140,psychic,,synchronize,inner-focus,magic-guard,40,35,30,120,70,105
65,alakazam,15,480,225,psychic,,synchronize,inner-focus,magic-guard,55,50,45,135,95,120
66,machop,8,195,61,fighting,,guts,no-guard,steadfast,70,80,50,35,35,35
67,machoke,15,705,142,fighting,,guts,no-guard,steadfast,80,100,70,50,60,45
68,machamp,16,1300,227,fighting,,guts,no-guard,steadfast,90,130,80,65,85,55
69,bellsprout,7,40,60,grass,poison,chlorophyll,gluttony,,50,75,35,70,30,40
70,weepinbell,10,64,137,grass,poison,chlorophyll,gluttony,,65,90,50,85,45,55
71,victreebel,17,155,221,grass,poison,chlorophyll,gluttony,,80,105,65,100,70,70
72,tentacool,9,455,67,water,poison,clear-body,liquid-ooze,rain-dish,40,40,35,50,100,70
73,tentacruel,16,550,180,water,poison,clear-body,liquid-ooze,rain-dish,80,70,65,80,120,100
74,geodude,4,200,60,rock,ground,rock-head,sturdy,sand-veil,40,80,100,30,30,20
75,graveler,10,1050,137,rock,ground,rock-head,sturdy,sand-veil,55,95,115,45,45,35
76,golem,14,3000,223,rock,ground,rock-head,sturdy,sand-veil,80,120,130,55,65,45
77,ponyta,10,300,82,fire,,run-away,flash-fire,flame-body,50,85,55,65,65,90
78,rapidash,17,950,175,fire,,run-away,flash-fire,flame-body,65,100,70,80,80,105
79,slowpoke,12,360,63,water,psychic,oblivious,own-tempo,regenerator,90,65,65,40,40,15
80,slowbro,16,785,172,water,psychic,oblivious,own-tempo,regenerator,95,75,110,100,80,30
81,magnemite,3,60,65,electric,steel,magnet-pull,sturdy,analytic,25,35,70,95,55,45
82,magneton,10,600,163,electric,steel,magnet-pull,sturdy,analytic,50,60,95,120,70,70
83,farfetchd,8,150,132,normal,flying,keen-eye,inner-focus,defiant,52,90,55,58,62,60
84,doduo,14,392,62,normal,flying,run-away,early-bird,tangled-feet,35,85,45,35,35,75
85,dodrio,18,852,165,normal,flying,run-away,early-bird,tangled-feet,60,110,70,60,60,110
86,seel,11,900,65,water,,thick-fat,hydration,ice-body,65,45,55,45,70,45
87,dewgong,17,1200,166,water,ice,thick-fat,hydration,ice-body,90,70,80,70,95,70
88,grimer,9,300,65,poison,,stench,sticky-hold,poison-touch,80,80,50,40,50,25
89,muk,12,300,175,poison,,stench,sticky-hold,poison-touch,105,105,75,65,100,50
90,shellder,3,40,61,water,,shell-armor,skill-link,overcoat,30,65,100,45,25,40
91,cloyster,15,1325,184,water,ice,shell-armor,skill-link,overcoat,50,95,180,85,45,70
92,gastly,13,1,62,ghost,poison,levitate,,,30,35,30,100,35,80
93,haunter,16,1,142,ghost,poison,levitate,,,45,50,45,115,55,95
94,gengar,15,405,225,ghost,poison,cursed-body,,,60,65,60,130,75,110
95,onix,88,2100,77,rock,ground,rock-head,sturdy,weak-armor,35,45,160,30,45,70
96,drowzee,10,324,66,psychic,,insomnia,forewarn,inner-focus,60,48,45,43,90,42
97,hypno,16,756,169,psychic,,insomnia,forewarn,inner-focus,85,73,70,73,115,67
98,krabby,4,65,65,water,,hyper-cutter,shell-armor,sheer-force,30,105,90,25,25,50
99,kingler,13,600,166,water,,hyper-cutter,shell-armor,sheer-force,55,130,115,50,50,75
100,voltorb,5,104,66,electric,,soundproof,static,aftermath,40,30,50,55,55,100
101,electrode,12,666,172,electric,,soundproof,static,aftermath,60,50,70,80,80,150
102,exeggcute,4,25,65,grass,psychic,chlorophyll,harvest,,60,40,80,60,45,40
103,exeggutor,20,1200,186,grass,psychic,chlorophyll,harvest,,95,95,85,125,75,55
104,cubone,4,65,64,ground,,rock-head,lightning-rod,battle-armor,50,50,95,40,50,35
105,marowak,10,450,149,ground,,rock-head,lightning-rod,battle-armor,60,80,110,50,80,45
106,hitmonlee,15,498,159,fighting,,limber,reckless,unburden,50,120,53,35,110,87
107,hitmonchan,14,502,159,fighting,,keen-eye,iron-fist,inner-focus,50,105,79,35,110,76
108,lickitung,12,655,77,normal,,own-tempo,oblivious,cloud-nine,90,55,75,60,75,30
109,koffing,6,10,68,poison,,levitate,neutralizing-gas,stench,40,65,95,60,45,35
110,weezing,12,95,172,poison,,levitate,neutralizing-gas,stench,65,90,120,85,70,60
111,rhyhorn,10,1150,69,ground,rock,lightning-rod,rock-head,reckless,80,85,95,30,30,25
112,rhydon,19,1200,170,ground,rock,lightning-rod,rock-head,reckless,105,130,120,45,45,40
113,chansey,11,346,395,normal,,natural-cure,serene-grace,healer,250,5,5,35,105,50
114,tangela,10,350,87,grass,,chlorophyll,leaf-guard,regenerator,65,55,115,100,40,60
115,kangaskhan,22,800,172,normal,,early-bird,scrappy,inner-focus,105,95,80,40,80,90
116,horsea,4,80,59,water,,swift-swim,sniper,damp,30,40,70,70,25,60
117,seadra,12,250,154,water,,poison-point,sniper,damp,55,65,95,95,45,85
118,goldeen,6,150,64,water,,swift-swim,water-veil,lightning-rod,45,67,60,35,50,63
119,seaking,13,390,158,water,,swift-swim,water-veil,lightning-rod,80,92,65,65,80,68
120,staryu,8,345,68,water,,illuminate,natural-cure,analytic,30,45,55,70,55,85
121,starmie,11,800,182,water,psychic,illuminate,natural-cure,analytic,60,75,85,100,85,115
122,mr-mime,13,545,161,psychic,fairy,soundproof,filter,technician,40,45,65,100,120,90
123,scyther,15,560,100,bug,flying,swarm,technician,steadfast,70,110,80,55,80,105
124,jynx,14,406,159,ice,psychic,oblivious,forewarn,dry-skin,65,50,35,115,95,95
125,electabuzz,11,300,172,electric,,static,vital-spirit,,65,83,57,95,85,105
126,magmar,13,445,173,fire,,flame-body,vital-spirit,,65,95,57,100,85,93
127,pinsir,15,550,175,bug,,hyper-cutter,mold-breaker,moxie,65,125,100,55,70,85
128,tauros,14,884,172,normal,,intimidate,anger-point,sheer-force,75,100,95,40,70,110
129,magikarp,9,100,40,water,,swift-swim,rattled,,20,10,55,15,20,80
130,gyarados,65,2350,189,water,flying,intimidate,moxie,,95,125,79,60,100,81
131,lapras,25,2200,187,water,ice,water-absorb,shell-armor,hydration,130,85,80,85,95,60
132,ditto,3,40,101,normal,,limber,imposter,,48,48,48,48,48,48
133,eevee,3,65,65,normal,,run-away,adaptability,anticipation,55,55,50,45,65,55
134,vaporeon,10,290,184,water,,water-absorb,hydration,,130,65,60,110,95,65
135,jolteon,8,245,184,electric,,volt-absorb,quick-feet,,65,65,60,110,95,130
136,flareon,9,250,184,fire,,flash-fire,guts,,65,130,60,95,110,65
137,porygon,8,365,79,normal,,trace,download,analytic,65,60,70,85,75,40
138,omanyte,4,75,71,rock,water,swift-swim,shell-armor,weak-armor,35,40,100,90,55,35
139,omastar,10,350,173,rock,water,swift-swim,shell-armor,weak-armor,70,60,125,115,70,55
140,kabuto,5,115,71,rock,water,swift-swim,battle-armor,weak-armor,30,80,90,55,45,55
141,kabutops,13,405,173,rock,water,swift-swim,battle-armor,weak-armor,60,115,105,65,70,80
142,aerodactyl,18,590,180,rock,flying,rock-head,pressure,unnerve,80,105,65,60,75,130
143,snorlax,21,4600,189,normal,,immunity,thick-fat,gluttony,160,110,65,65,110,30
144,articuno,17,554,261,ice,flying,pressure,snow-cloak,,90,85,100,95,125,85
145,zapdos,16,526,261,electric,flying,pressure,static,,90,90,85,125,90,100
146,moltres,20,600,261,fire,flying,pressure,flame-body,,90,100,90,125,85,90
147,dratini,18,33,60,dragon,,shed-skin,marvel-scale,,41,64,45,50,50,50
148,dragonair,40,165,147,dragon,,shed-skin,marvel-scale,,61,84,65,70,70,70
149,dragonite,22,2100,270,dragon,flying,inner-focus,multiscale,,91,134,95,100,100,80
150,mewtwo,20,1220,306,psychic,,pressure,unnerve,,106,110,90,154,90,130
151,mew,4,40,270,psychic,,synchronize,,,100,100,100,100,100,100
152,chikorita,9,64,64,grass,,overgrow,leaf-guard,,45,49,65,49,65,45
153,bayleef,12,158,142,grass,,overgrow,leaf-guard,,60,62,80,63,80,60
154,meganium,18,1005,236,grass,,overgrow,leaf-guard,,80,82,100,83,100,80
155,cyndaquil,5,79,62,fire,,blaze,flash-fire,,39,52,43,60,50,65
156,quilava,9,190,142,fire,,blaze,flash-fire,,58,64,58,80,65,80
157,typhlosion,17,795,240,fire,,blaze,flash-fire,,78,84,78,109,85,100
158,totodile,6,95,63,water,,torrent,sheer-force,,50,65,64,44,48,43
159,croconaw,11,250,142,water,,torrent,sheer-force,,65,80,80,59,63,58
160,feraligatr,23,888,239,water,,torrent,sheer-force,,85,105,100,79,83,78
161,sentret,8,60,43,normal,,run-away,keen-eye,frisk,35,46,34,35,45,20
162,furret,18,325,145,normal,,run-away,keen-eye,frisk,85,76,64,45,55,90
163,hoothoot,7,212,52,normal,flying,insomnia,keen-eye,tinted-lens,60,30,30,36,56,50
164,noctowl,16,408,158,normal,flying,insomnia,keen-eye,tinted-lens,100,50,50,86,96,70
165,ledyba,10,108,53,bug,flying,swarm,early-bird,rattled,40,20,30,40,80,55
166,ledian,14,356,137,bug,flying,swarm,early-bird,iron-fist,55,35,50,55,110,85
167,spinarak,5,85,50,bug,poison,swarm,insomnia,sniper,40,60,40,40,40,30
168,ariados,11,335,140,bug,poison,swarm,insomnia,sniper,70,90,70,60,70,40
169,crobat,18,750,241,poison,flying,inner-focus,infiltrator,,85,90,80,70,80,130
170,chinchou,5,120,66,water,electric,volt-absorb,illuminate,water-absorb,75,38,38,56,56,67
171,lanturn,12,225,161,water,electric,volt-absorb,illuminate,water-absorb,125,58,58,76,76,67
172,pichu,3,20,41,electric,,static,lightning-rod,,20,40,15,35,35,60
173,cleffa,3,30,44,fairy,,cute-charm,magic-guard,friend-guard,50,25,28,45,55,15
174,igglybuff,3,10,42,normal,fairy,cute-charm,competitive,friend-guard,90,30,15,40,20,15
175,togepi,3,15,49,fairy,,hustle,serene-grace,super-luck,35,20,65,40,65,20
176,togetic,6,32,142,fairy,flying,hustle,serene-grace,super-luck,55,40,85,80,105,40
177,natu,2,20,64,psychic,flying,synchronize,early-bird,magic-bounce,40,50,45,70,45,70
178,xatu,15,150,165,psychic,flying,synchronize,early-bird,magic-bounce,65,75,70,95,70,95
179,mareep,6,78,56,electric,,static,plus,,55,40,40,65,45,35
180,flaaffy,8,133,128,electric,,static,plus,,70,55,55,80,60,45
181,ampharos,14,615,230,electric,,static,plus,,90,75,85,115,90,55
182,bellossom,4,58,221,grass,,chlorophyll,healer,,75,80,95,90,100,50
183,marill,4,85,88,water,fairy,thick-fat,huge-power,sap-sipper,70,20,50,20,50,40
184,azumarill,8,285,189,water,fairy,thick-fat,huge-power,sap-sipper,100,50,80,60,80,50
185,sudowoodo,12,380,144,rock,,sturdy,rock-head,rattled,70,100,115,30,65,30
186,politoed,11,339,225,water,,water-absorb,damp,drizzle,90,75,75,90,100,70
187,hoppip,4,5,50,grass,flying,chlorophyll,leaf-guard,infiltrator,35,35,40,35,55,50
188,skiploom,6,10,119,grass,flying,chlorophyll,leaf-guard,infiltrator,55,45,50,45,65,80
189,jumpluff,8,30,207,grass,flying,chlorophyll,leaf-guard,infiltrator,75,55,70,55,95,110
190,aipom,8,115,72,normal,,run-away,pickup,skill-link,55,70,55,40,55,85
191,sunkern,3,18,36,grass,,chlorophyll,solar-power,early-bird,30,30,30,30,30,30
192,sunflora,8,85,149,grass,,chlorophyll,solar-power,early-bird,75,75,55,105,85,30
193,yanma,12,380,78,bug,flying,speed-boost,compound-eyes,frisk,65,65,45,75,45,95
194,wooper,4,85,42,water,ground,damp,water-absorb,unaware,55,45,45,25,25,15
195,quagsire,14,750,151,water,ground,damp,water-absorb,unaware,95,85,85,65,65,35
196,espeon,9,265,184,psychic,,synchronize,magic-bounce,,65,65,60,130,95,110
197,umbreon,10,270,184,dark,,synchronize,inner-focus,,95,65,110,60,130,65
198,murkrow,5,21,81,dark,flying,insomnia,super-luck,prankster,60,85,42,85,42,91
199,slowking,20,795,172,water,psychic,oblivious,own-tempo,regenerator,95,75,80,100,110,30
200,misdreavus,7,10,87,ghost,,levitate,,,60,60,60,85,85,85
201,unown,5,50,118,psychic,,levitate,,,48,72,48,72,48,48
202,wobbuffet,13,285,142,psychic,,shadow-tag,telepathy,,190,33,58,33,58,33
203,girafarig,15,415,159,normal,psychic,inner-focus,early-bird,sap-sipper,70,80,65,90,65,85
204,pineco,6,72,58,bug,,sturdy,overcoat,,50,65,90,35,35,15
205,forretress,12,1258,163,bug,steel,sturdy,overcoat,,75,90,140,60,60,40
206,dunsparce,15,140,145,normal,,serene-grace,run-away,rattled,100,70,70,65,65,45
207,gligar,11,648,86,ground,flying,hyper-cutter,sand-veil,immunity,65,75,105,35,65,85
208,steelix,92,4000,179,steel,ground,rock-head,sturdy,sheer-force,75,85,200,55,65,30
209,snubbull,6,78,60,fairy,,intimidate,run-away,rattled,60,80,50,40,40,30
210,granbull,14,487,158,fairy,,intimidate,quick-feet,rattled,90,120,75,60,60,45
211,qwilfish,5,39,88,water,poison,poison-point,swift-swim,intimidate,65,95,85,55,55,85
212,scizor,18,1180,175,bug,steel,swarm,technician,light-metal,70,130,100,55,80,65
213,shuckle,6,205,177,bug,rock,sturdy,gluttony,contrary,20,10,230,10,230,5
214,heracross,15,540,175,bug,fighting,swarm,guts,moxie,80,125,75,40,95,85
215,sneasel,9,280,86,dark,ice,inner-focus,keen-eye,pickpocket,55,95,55,35,75,115
216,teddiursa,6,88,66,normal,,pickup,quick-feet,honey-gather,60,80,50,50,50,40
217,ursaring,18,1258,175,normal,,guts,quick-feet,unnerve,90,130,75,75,75,55
218,slugma,7,350,50,fire,,magma-armor,flame-body,weak-armor,40,40,40,70,40,20
219,magcargo,8,550,151,fire,rock,magma-armor,flame-body,weak-armor,60,50,120,90,80,30
220,swinub,4,65,50,ice,ground,oblivious,snow-cloak,thick-fat,50,50,40,30,30,50
221,piloswine,11,558,158,ice,ground,oblivious,snow-cloak,thick-fat,100,100,80,60,60,50
222,corsola,6,50,144,water,rock,hustle,natural-cure,regenerator,65,55,95,65,95,35
223,remoraid,6,120,60,water,,hustle,sniper,moody,35,65,35,65,35,65
224,octillery,9,285,168,water,,suction-cups,sniper,moody,75,105,75,105,75,45
225,delibird,9,160,116,ice,flying,vital-spirit,hustle,insomnia,45,55,45,65,45,75
226,mantine,21,2200,170,water,flying,swift-swim,water-absorb,water-veil,85,40,70,80,140,70
